"","id","name","long","lat"
"1",0,"DJENONTIN ARMEL",2.3912362,6.3702928
"2",1,"ALOU LUDOVIC P AHOUA",-5.0390536,7.690466
"3",2,"KOFFI ALPHONSINE",-4.0082563,5.3599517
"4",3,"ZOGO BARNABAS",2.3912362,6.3702928
"5",4,"DUARTE ELVES",2.3912362,6.3702928
"6",5,"NGUESSAN RAPHAEL",2.3912362,6.3702928
"7",6,"MOIROUX NICOLAS",2.3912362,6.3702928
"8",7,"PENNETIER CEDRIC",2.3912362,6.3702928
"9",8,"BIGUEZOTON ABEL",-1.5285981,12.3697517
"10",9,"NOEL VALERIE",3.876716,43.610769
"11",10,"ADAKAL HASSANE",7.1036396,13.5009779
"12",11,"ZOUNGRANA SEBASTIEN",-4.3051542,11.1649219
"13",12,"CHEVILLON CHRISTINE",3.876716,43.610769
"14",13,"OXBOROUGH RICHARD M",37.4254444,-3.527647
"15",14,"KITAU JOVIN",37.4254444,-3.527647
"16",15,"MATOWO JOHNSON",37.4254444,-3.527647
"17",16,"MNDEME R",37.4254444,-3.527647
"18",17,"FESTON E",37.4254444,-3.527647
"19",18,"BOKO MICHEL",2.3912362,6.3702928
"20",19,"BOKO PELAGIE",2.3912362,6.3702928
"21",20,"ODJO ABIBA",2.3912362,6.3702928
"22",21,"METONNOU C",2.3912362,6.3702928
"23",22,"IRISH SETH",-0.1277583,51.5073509
"24",23,"MOSHA FRANKLIN W",37.4254444,-3.527647
"25",24,"ROWLAND MARK",-0.1277583,51.5073509
"26",25,"ROWLAND MARK",-0.1277583,51.5073509
"27",26,"DAMIEN GEORGIA",2.3912362,6.3702928
"28",27,"EGROT MARC",3.876716,43.610769
"29",28,"CHANDRE FABRICE",3.876716,43.610769
"30",29,"CORBEL VINCENT",2.3912362,6.3702928
"31",30,"KILLEEN GERRY F",NA,NA
"32",31,"DJEGBE INNOCENT",2.3912362,6.3702928
"33",32,"AGOSSA RODRIGUE FIACRE",2.3912362,6.3702928
"34",33,"CISSE MOUSSA B",2.3912362,6.3702928
"35",34,"JONES CHRISTOPHER M",-0.2376744,51.8097823
"36",35,"POUPARDIN RODOLPHE",-2.9436643,53.3976041
"37",36,"CORNELIE SYLVIE",2.3912362,6.3702928
"38",37,"AKOGBETO MARTIN",2.3912362,6.3702928
"39",38,"RANSON HILARY",-2.9436643,53.3976041
"40",39,"NGUFOR CORINE",-0.1277583,51.5073509
"41",40,"FAGBOHOUN JOSIAS",2.3912362,6.3702928
"42",41,"TODJINOU DAMIEN",2.3912362,6.3702928
"43",42,"MALONE DAVID",-2.9436643,53.3976041
"44",43,"ISMAIL HANAFY",-2.9436643,53.3976041
"45",44,"HOUZE SANDRINE",2.3522219,48.856614
"46",45,"HOUZE PASCAL",2.3522219,48.856614
"47",46,"BOLY MAINOUMATA DICKO",2.3912362,6.3702928
"48",47,"LE BRAS JACQUES",2.3522219,48.856614
"49",48,"DELORON PHILIPPE",2.3522219,48.856614
"50",49,"FAUCHER JEANFRANCOIS",NA,NA
"51",50,"NIELSEN MORTEN A",12.5683371,55.6760968
"52",51,"RESENDE MAFALDA",12.5683371,55.6760968
"53",52,"DE JONGH WILLEM A",12.504924,55.883514
"54",53,"DITLEV SISSE B",12.5683371,55.6760968
"55",54,"MORDMUELLER BENJAMIN",10.5806055,49.3114521
"56",55,"HOUARD SOPHIE",8.6724335,49.3987524
"57",56,"NDAM NICAISE TUIKUE",2.3522219,48.856614
"58",57,"AGERBAEK METTE O",12.5683371,55.6760968
"59",58,"HAMBORG METTE",12.5683371,55.6760968
"60",59,"MASSOUGBODJI ACHILLE",2.3912362,6.3702928
"61",60,"ISSIFOU SADDOU",2.3912362,6.3702928
"62",61,"STROBAEK ANETTE",12.504924,55.883514
"63",62,"POULSEN LARS",12.504924,55.883514
"64",63,"LEROY ODILE",8.6724335,49.3987524
"65",64,"KREMSNER PETER G",10.5806055,49.3114521
"66",65,"CHIPPAUX JEANPHILIPPE",NA,NA
"67",66,"LUTY ADRIAN J F",2.3522219,48.856614
"68",67,"THEANDER THOR G",12.5683371,55.6760968
"69",68,"DYRING CHARLOTTE",12.504924,55.883514
"70",69,"SALANTI ALI",12.5683371,55.6760968
"71",70,"DECHAVANNE SEBASTIEN",2.3522219,48.856614
"72",71,"DECHAVANNE CELIA",2.3522219,48.856614
"73",72,"PIERRAT CHARLOTTE",2.3912362,6.3702928
"74",73,"RENARD EMMANUELLE",2.3522219,48.856614
"75",74,"COSTES BRUNO",2.455572,48.790367
"76",75,"MARTIN THIBAUD",3.876716,43.610769
"77",76,"MARTIN NATACHA",2.455572,48.790367
"78",78,"LADEKPO RODOLPHE",2.3912362,6.3702928
"79",79,"AHOUANGNINOU CLAUDE",2.3912362,6.3702928
"80",80,"ALVAREZ VIOLETA MOYA",2.3522219,48.856614
"81",81,"GARCIA ANDRE",2.3522219,48.856614
"82",82,"MIGOTNABIAS FLORENCE",NA,NA
"83",83,"YAHOUEDO GILDAS A",2.3912362,6.3702928
"84",84,"DJOGBENOU LUC",2.3912362,6.3702928
"85",85,"SAIZONOU JACQUES",2.3912362,6.3702928
"86",86,"ASSOGBA BENOIT S",2.3912362,6.3702928
"87",87,"MAKOUTODE MICHEL",2.3912362,6.3702928
"88",88,"MAKOUTODE PATRICK",2.0763253,6.3716474
"89",89,"GILLES JEREMIE R L",16.3738189,48.2081743
"90",90,"MAIGA H",-8.0028892,12.6392316
"91",91,"MOULINE KARINE",-4.3051542,11.1649219
"92",92,"SOUKOU BHONNA K",2.3912362,6.3702928
"93",93,"SIMARD EDGAR P",-84.3879824,33.7489954
"94",94,"SIMARD FREDERIC",3.876716,43.610769
"95",95,"BONNET MARYLINE",5.028579,44.938181
"96",96,"BONNET JULIEN",3.876716,43.610769
"97",97,"YATES A",-0.1277583,51.5073509
"98",98,"DENOEUDNDAM L",NA,NA
"99",99,"FOURCADE CAMILLE",2.3522219,48.856614
"100",100,"AKAKPO JOCELYN",2.3912362,6.3702928
"101",101,"AFANGNIHOUN A",2.3912362,6.3702928
"102",102,"ATADOKPEDE F",2.3912362,6.3702928
"103",103,"DOSSOUGBETE L",2.6288523,6.4968574
"104",104,"PERRIN RENE XAVIER",2.3912362,6.3702928
"105",105,"GIRARD P M",NA,NA
"106",106,"ZANNOU D MARCEL",2.3912362,6.3702928
"107",108,"COT MICHEL",2.3522219,48.856614
"108",109,"CHABI NICODEME W",2.3912362,6.3702928
"109",110,"CHABI JOSEPH",2.3912362,6.3702928
"110",111,"BALDET THIERRY",2.3912362,6.3702928
"111",112,"MOUSSILIOU AZIZATH",2.3912362,6.3702928
"112",113,"SAVI DE TOVE YOLANDE SISSINTO",2.3912362,6.3702928
"113",114,"DORITCHAMOU JUSTIN",2.3912362,6.3702928
"114",115,"ALIFRANGIS MICHAEL",12.5683371,55.6760968
"115",116,"ATCHADE PASCAL S",2.3912362,6.3702928
"116",117,"HAAR ELODIE",7.7521113,48.5734053
"117",118,"PERROTEY SYLVIE",7.7521113,48.5734053
"118",119,"FILISETTI DENIS",7.7521113,48.5734053
"119",120,"ABOUBACAR AHMED",7.7521113,48.5734053
"120",121,"PFAFF ALEXANDER W",7.7521113,48.5734053
"121",122,"BRUNET JULIE",7.7521113,48.5734053
"122",123,"AKPOVI CASIMIR D",2.3912362,6.3702928
"123",124,"ANANI LUDOVIC",2.3912362,6.3702928
"124",125,"BIGOT ANDRE",2.3912362,6.3702928
"125",126,"SANNI AMBALIOU",2.3912362,6.3702928
"126",127,"CANDOLFI ERMANNO",7.7521113,48.5734053
"127",128,"ABDULLA SALIM",39.2083284,-6.792354
"128",129,"ADAM ISHAG",32.5598994,15.5006544
"129",130,"ADJEI GEORGE O",-0.1869644,5.6037168
"130",131,"ADJUIK MARTIN A",-0.1869644,5.6037168
"131",132,"ALEMAYEHU BEREKET H",38.7577605,8.9806034
"132",133,"ALLAN RICHARD",-0.1872275,51.1091401
"133",134,"ARINAITWE EMMANUEL",32.5825197,0.3475964
"134",135,"ASHLEY ELIZABETH A",98.704075,16.7751826
"135",136,"BA MAMADOU S",-17.3660286,14.7645042
"136",137,"BARENNES HUBERT",-4.3051542,11.1649219
"137",138,"BARNES KAREN I",18.4240553,-33.9248685
"138",139,"BASSAT QUIQUE",2.1734035,41.3850639
"139",140,"BAUDIN ELISABETH",2.3522219,48.856614
"140",141,"BJOERKMAN ANDERS",18.0685808,59.3293235
"141",142,"BOMPART FRANCOIS",2.344688,48.8138999
"142",143,"BORRMANN STEFFEN",39.9093269,-3.5106508
"143",144,"BOUSEMA TEUN",-0.1277583,51.5073509
"144",145,"BRASSEUR PHILIPPE",-17.3660286,14.7645042
"145",146,"BUKIRWA HASIFA",32.5825197,0.3475964
