"","i","j","t","prob","collabType"
"1",1,4,2,7.11766013836016e-05,2
"2",1,5,2,7.11766013836016e-05,2
"3",1,6,2,1.0872305090241e-08,2
"4",1,8,2,0.0209004746897529,2
"5",1,19,2,7.11766013836016e-05,2
"6",1,20,2,6.58172248401335e-05,2
"7",1,21,2,6.58172248401335e-05,2
"8",1,22,2,0.000100665515727308,2
"9",1,27,2,0.00848512577968449,2
"10",1,30,2,1.98442925551178e-10,2
"11",1,32,2,7.11766013836016e-05,2
"12",1,33,2,7.11766013836016e-05,2
"13",1,34,2,0.00013514693673543,2
"14",1,38,2,6.76111560009509e-08,2
"15",1,41,2,7.11766013836016e-05,2
"16",1,42,2,7.11766013836016e-05,2
"17",1,47,2,7.34477265378249e-05,2
"18",1,60,2,0.000656942867011995,2
"19",1,61,2,7.11766013836016e-05,2
"20",1,73,2,7.11766013836016e-05,2
"21",1,78,2,7.11766013836016e-05,2
"22",1,79,2,7.11766013836016e-05,2
"23",1,83,2,7.11766013836016e-05,2
"24",1,84,2,2.25002900667915e-06,2
"25",1,85,2,7.11766013836016e-05,2
"26",1,86,2,7.11766013836016e-05,2
"27",1,87,2,7.11766013836016e-05,2
"28",1,88,2,0.000146874186862013,2
"29",1,92,2,7.11766013836016e-05,2
"30",1,100,2,7.11766013836016e-05,2
"31",2,3,2,0.0191705639681803,3
"32",2,9,2,0.000236308022099059,3
"33",2,11,2,0.000236308022099059,3
"34",2,12,2,0.000236308022099059,3
"35",2,14,2,0.00039895249595843,3
"36",2,15,2,0.000236308022099059,3
"37",2,16,2,0.000236308022099059,3
"38",2,17,2,0.000236308022099059,3
"39",2,18,2,0.000236308022099059,3
"40",2,24,2,0.000236308022099059,3
"41",2,31,2,0.0276314019693541,3
"42",2,90,2,0.0276314019693541,3
"43",2,91,2,0.0276314019693541,3
"44",3,2,2,0.0191705639681803,3
"45",3,9,2,0.000162547355356351,3
"46",3,11,2,0.000162547355356351,3
"47",3,12,2,0.000162547355356351,3
"48",3,14,2,0.00027443827638375,3
"49",3,15,2,0.000162547355356351,3
"50",3,16,2,0.000162547355356351,3
