"","i","j","t","prob","collabType"
"1","1","3","2","0.00171798417887524","NATIONAL"
"2","1","4","2","0.0210104266607417","NATIONAL"
"3","1","5","2","0.000247715256231073","NATIONAL"
"4","1","6","2","0.000247715256231073","NATIONAL"
"5","1","7","2","0.0210104266607417","NATIONAL"
"6","1","8","2","0.00041494390293212","NATIONAL"
"7","1","9","2","0.0210104266607417","NATIONAL"
"8","1","10","2","0.000247715256231073","NATIONAL"
"9","1","13","2","0.000247715256231073","NATIONAL"
"10","1","22","2","0.000247715256231073","NATIONAL"
"11","1","29","2","0.000247715256231073","NATIONAL"
"12","1","38","2","0.00595940641707541","NATIONAL"
"13","1","39","2","0.00105015187661356","NATIONAL"
"14","1","55","2","0.000247715256231073","NATIONAL"
"15","1","56","2","0.000247715256231073","NATIONAL"
"16","1","59","2","0.000247715256231073","NATIONAL"
"17","1","65","2","0.000247715256231073","NATIONAL"
"18","1","78","2","0.0210104266607417","NATIONAL"
"19","1","81","2","0.000247715256231073","NATIONAL"
"20","1","86","2","0.000247715256231073","NATIONAL"
"21","1","87","2","0.0148177981690796","NATIONAL"
"22","1","100","2","0.000247715256231073","NATIONAL"
"23","2","12","2","0.000611123678492719","REGIONAL"
"24","2","15","2","0.00102343245398648","REGIONAL"
"25","2","16","2","0.000611123678492719","REGIONAL"
"26","2","18","2","0.000611123678492719","REGIONAL"
"27","2","19","2","0.000611123678492719","REGIONAL"
"28","2","20","2","0.000611123678492719","REGIONAL"
"29","2","21","2","0.000611123678492719","REGIONAL"
"30","2","26","2","0.000611123678492719","REGIONAL"
"31","2","32","2","0.00395548595912355","REGIONAL"
"32","2","40","2","0.00599756355796168","REGIONAL"
"33","2","43","2","0.00395548595912355","REGIONAL"
"34","2","46","2","0.000611123678492719","REGIONAL"
"35","2","50","2","0.00395548595912355","REGIONAL"
"36","2","51","2","0.0503010459328246","REGIONAL"
"37","2","52","2","0.000611123678492719","REGIONAL"
"38","2","53","2","0.0503010459328246","REGIONAL"
"39","2","54","2","0.0503010459328246","REGIONAL"
"40","2","57","2","0.000611123678492719","REGIONAL"
"41","2","58","2","0.0503010459328246","REGIONAL"
"42","2","60","2","0.0503010459328246","REGIONAL"
"43","2","62","2","0.255934452096688","REGIONAL"
"44","2","64","2","0.0503010459328246","REGIONAL"
"45","2","66","2","0.0503010459328246","REGIONAL"
"46","2","67","2","0.0503010459328246","REGIONAL"
"47","2","69","2","0.000611123678492719","REGIONAL"
"48","2","70","2","0.000611123678492719","REGIONAL"
"49","2","71","2","0.000611123678492719","REGIONAL"
"50","2","74","2","0.000611123678492719","REGIONAL"
"51","2","76","2","0.000611123678492719","REGIONAL"
"52","2","77","2","0.000611123678492719","REGIONAL"
"53","2","79","2","0.000611123678492719","REGIONAL"
"54","2","80","2","0.000611123678492719","REGIONAL"
"55","2","82","2","0.000611123678492719","REGIONAL"
"56","2","84","2","0.000611123678492719","REGIONAL"
"57","2","89","2","0.000611123678492719","REGIONAL"
"58","2","91","2","0.00260257796332779","REGIONAL"
"59","2","92","2","0.00509197725741705","REGIONAL"
